Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation,Map no,Easting,Northing,REC number,Fishing method,Passes,Length fished,Area fished
4952,10,1982,Clutha River,1281020,Heriot Burn upper,752.143,day,Heriot Burn,,330,138,otfg,G44,2230900,5480600,14060775,ef,2,,
4954,10,1982,Clutha River,1281020,Heriot Burn upper,752.143, ,Heriot Burn, ,270,135,otfg,g44,2228400,5480200,14060926,ef,2, , 
4955,10,1982,Clutha River,1281020,Heriot Burn upper,752.143,day,Heriot Burn,,270,135,otfg,G44,2228300,5480200,14060926,ef,2,,
4963,10,1982,Clutha River,1281016,Crookston Burn tributary 1,752.143, ,Black Gully, ,170,119,otfg,g44,2220900,5474500,14062452,ef,2, , 
4901,2,1983,Clutha River,1281022,Leithen Burn,752.146,901,Leithen Burn tributary, ,240,132,otfg,f44,2204800,5479700,14061120,ef,2, ,50
4905,2,1983,Clutha River,1281056,Waikokoi Creek lower,752.145,1542,Waikoikoi Creek, ,110,91,otfg,g45,2217000,5458500,14065917,ef,1, ,144
4971,12,1984,Clutha River,1281002,Rankle Burn,752.141,940,Rankle Burn tributary,,180,73,otfg,g45,2226700,5459800,14065655,ef,1,,
7833,11,1985,Clutha River,1281056,Waikokoi Creek lower,752.145, ,Waikoikoi Creek, ,110,91,otfg,g45,2217000,5458500,14065921,efp,1, , 
7836,12,1985,Clutha River,1281022,Leithen Burn,752.146,,Leithen Burn tributary,,230,130,otfg,f44,2206100,5479000,14061305,efp,1,,
7839,12,1985,Clutha River,1281027,Spylaw Burn lower,752.147, ,Spylaw Burn, ,230,141,otfg,g44,2212000,5485500,14059251,efp,1, , 
7882,9,1991,Clutha River,1281024,Spylaw Burn tributary 1,752.147,day,Spylaw Burn,,230,137,otfg,G44,2210300,5485800,14059164,ef,2,,
3022,9,1992,Clutha River,1281025,Thompsons Creek lower,752.147,day,Thompsons Creek tributary,,360,143,niwa,G44,2211300,5488800,14058207,ef,1,,
14766,12,1995,Clutha River,1281020,Heriot Burn upper,752.143, ,Heriot Burn, ,230,131,indm,g44,2225500,5480800,14060760,fyn, , ,1
14767,12,1995,Clutha River,1281019,Cameron Stream,752.143,,Cameron Stream,,220,129,indm,G44,2224100,5479200,14061184,pun,,,1
14768,12,1995,Clutha River,1281017,Crookston Burn tributary 2,752.143,night,Crookston Burn tributary,,190,120,indm,G44,2222000,5475700,14062179,ncn,,,1
14769,12,1995,Clutha River,1281016,Crookston Burn tributary 1,752.143,night,Black Gully tributary,,180,118,indm,G44,2220600,5474300,14062538,ncn,,,1
14771,12,1995,Clutha River,1281021,Pomahaka River tributary 2,752.143,night,Unnamed pond,,150,122,indm,G44,2213500,5475900,14062031,ncn,,,3
14795,12,1995,Clutha River,1281001,Pomahaka River tributary 1,752.14,night,Pomahaka River tributary,,30,56,indm,G45,2233200,5452600,14067074,ncn,,,
14797,12,1995,Clutha River,1281002,Rankle Burn,752.141, ,Rankle Burn, ,70,68,indm,g45,2227500,5457000,14066210,fyn, , ,2
